Set,RI1,RI2,RI3,RI4,RI5,RI6,RI7,RI8,RI9,RI10,RI11,RI12,RI13,RI14,RI15,RI16
180925S_X_FP60A,carrier_u,carrier_m0,unused,unused,sc_m0,sc_u,sc_m0,sc_m0,sc_0,sc_m0,sc_u,unused,unused,unused,unused,unused
180925S_X_FP60B,carrier_u,carrier_m0,unused,unused,sc_m0,sc_m0,sc_m0,sc_m0,sc_m0,sc_0,sc_m0,unused,unused,unused,unused,unused
180925S_X_FP60C,carrier_u,carrier_m0,unused,unused,sc_m0,sc_0,sc_m0,sc_u,sc_u,sc_m0,sc_u,unused,unused,unused,unused,unused
180925S_X_FP60D,carrier_u,carrier_m0,unused,unused,sc_u,sc_u,sc_m0,sc_u,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
180925S_X_FP61A,carrier_u,carrier_m0,unused,unused,sc_u,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
180925S_X_FP61B,carrier_u,carrier_m0,unused,unused,sc_m0,sc_m0,sc_0,sc_u,sc_u,sc_m0,sc_m0,unused,unused,unused,unused,unused
180925S_X_FP61C,carrier_u,carrier_m0,unused,unused,sc_0,sc_u,sc_m0,sc_u,sc_m0,sc_u,sc_m0,unused,unused,unused,unused,unused
180925S_X_FP61D,carrier_u,carrier_m0,unused,unused,sc_u,sc_u,sc_m0,sc_m0,sc_0,sc_m0,sc_u,unused,unused,unused,unused,unused
180927S_X_FP62A,carrier_mix,unused,unused,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
180927S_X_FP62B,carrier_mix,unused,unused,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
180927S_X_FP62C,carrier_mix,unused,unused,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
180927S_X_FP62D,carrier_mix,unused,unused,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
180927S_X_FP62E,carrier_mix,unused,unused,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
180927S_X_FP62F,carrier_mix,unused,unused,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
180927S_X_FP62G,carrier_mix,unused,unused,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
180927S_X_FP62H,carrier_mix,unused,unused,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
180927S_X_FP62I,carrier_mix,unused,unused,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
180927S_X_FP62J,carrier_mix,unused,unused,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
180927S_X_FP62K,carrier_mix,unused,unused,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
180927S_X_FP62L,carrier_mix,unused,unused,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
180927S_X_FP62M,carrier_mix,unused,unused,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
180927S_X_FP62N,carrier_mix,unused,unused,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
180927S_X_FP62O,carrier_mix,unused,unused,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
180928S_X_FP64A,unused,carrier_u.l,carrier_u.h,unused,unused,sc_u.l,sc_u.l,sc_u.l,sc_u.h,sc_u.h,sc_u.h,unused,unused,unused,unused,unused
180928S_X_FP64B,unused,carrier_u.l,carrier_u.h,unused,unused,sc_u.l,sc_u.l,sc_u.l,sc_u.h,sc_u.h,sc_u.h,unused,unused,unused,unused,unused
180928S_X_FP64C,unused,carrier_u.l,carrier_u.h,unused,unused,sc_u.l,sc_u.l,sc_u.l,sc_u.h,sc_u.h,sc_u.h,unused,unused,unused,unused,unused
180928S_X_FP64D,unused,carrier_u.l,carrier_u.h,unused,unused,sc_u.l,sc_u.l,sc_u.l,sc_u.h,sc_u.h,sc_u.h,unused,unused,unused,unused,unused
181004S_X_FP64E,unused,carrier_u.l,carrier_u.h,unused,unused,sc_u.l,sc_u.l,sc_u.l,sc_u.h,sc_u.h,sc_u.h,unused,unused,unused,unused,unused
181004S_X_FP64F,unused,carrier_u.l,carrier_u.h,unused,unused,sc_u.l,sc_u.l,sc_u.l,sc_u.h,sc_u.h,sc_u.h,unused,unused,unused,unused,unused
181004S_X_FP64G,unused,carrier_u.l,carrier_u.h,unused,unused,sc_u.l,sc_u.l,sc_u.l,sc_u.h,sc_u.h,sc_u.h,unused,unused,unused,unused,unused
181004S_X_FP64H,unused,carrier_u.l,carrier_u.h,unused,unused,sc_u.l,sc_u.l,sc_u.l,sc_u.h,sc_u.h,sc_u.h,unused,unused,unused,unused,unused
181004S_X_FP64I,unused,carrier_u.l,carrier_u.h,unused,unused,sc_u.l,sc_u.l,sc_u.l,sc_u.h,sc_u.h,sc_u.h,unused,unused,unused,unused,unused
181004S_X_FP64J,unused,carrier_u.l,carrier_u.h,unused,unused,sc_u.l,sc_u.l,sc_u.l,sc_u.h,sc_u.h,sc_u.h,unused,unused,unused,unused,unused
181004S_X_FP64K,unused,carrier_u.l,carrier_u.h,unused,unused,sc_u.l,sc_u.l,sc_u.l,sc_u.h,sc_u.h,sc_u.h,unused,unused,unused,unused,unused
181004S_X_FP64L,unused,carrier_u.l,carrier_u.h,unused,unused,sc_u.l,sc_u.l,sc_u.l,sc_u.h,sc_u.h,sc_u.h,unused,unused,unused,unused,unused
181004S_X_FP64M,unused,carrier_u.l,carrier_u.h,unused,unused,sc_u.l,sc_u.l,sc_u.l,sc_u.h,sc_u.h,sc_u.h,unused,unused,unused,unused,unused
181004S_X_FP64N,unused,carrier_u.l,carrier_u.h,unused,unused,sc_u.l,sc_u.l,sc_u.l,sc_u.h,sc_u.h,sc_u.h,unused,unused,unused,unused,unused
181024S_X_FP72E,unused,carrier_u,carrier_m0,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181024S_X_FP72F,unused,carrier_u,carrier_m0,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181024S_X_FP72G,unused,carrier_u,carrier_m0,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181024S_X_FP72H,unused,carrier_u,carrier_m0,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181024S_X_FP72M,unused,carrier_u,carrier_m0,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181024S_X_FP72N,unused,carrier_u,carrier_m0,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181024S_X_FP72O,unused,carrier_u,carrier_m0,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181024S_X_FP72P,unused,carrier_u,carrier_m0,unused,unused,sc_u,sc_u,sc_u,sc_m0,sc_m0,sc_m0,unused,unused,unused,unused,unused
181026S_X_FP74A,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181026S_X_FP74B,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181026S_X_FP74C,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181026S_X_FP74D,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181026S_X_FP74E,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181026S_X_FP74F,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181026S_X_FP74G,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181026S_X_FP74H,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181026S_X_FP74I,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181026S_X_FP74J,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181026S_X_FP74K,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181026S_X_FP74L,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181026S_X_FP74M,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181026S_X_FP74N,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181101_X_FP75A,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
181101_X_FP75C,carrier_mix,unused,unused,sc_u,norm,sc_u,sc_u,sc_m0,sc_m0,sc_m0,sc_0,unused,unused,unused,unused,unused
